Product ID,Product Category,Product Name,Price,Discount,Disc Price,
BTMC001,5 - Step Facial,5 Step Facial - Radiance Revival,275.42,  50.00 ,  137.71 ,
BTMC002,5 - Step Facial,5 Step Facial - Derma Lumin,275.42,  50.00 ,  137.71 ,
BTMC003,5 - Step Facial,5 Step Facial - Cobalin B12,275.42,  50.00 ,  137.71 ,
BTMC004,5 - Step Facial,5 Step Facial - Mucin Glow,275.42,  50.00 ,  137.71 ,
BTMC005,General,De Tan Single Use - 12 Gms (10 Pcs),507.63,  65.00 ,  177.67 ,
BTMC006,Cleanup Kit,4 Step Cleanup - Gold Sheen,168.64,  65.00 ,  59.03 ,
BTMC007,Cleanup Kit,4 Step Cleanup - Aqua Splash,168.64,  65.00 ,  59.03 ,
BTMC008,Cleanup Kit,4Step CleanUp - Charcoal Splash,168.64,  65.00 ,  59.03 ,
BTMC009,Cleanup Kit,4 Step Cleanup - Acne Heel,168.64,  65.00 ,  59.03 ,
BTMC010,Cleanup Kit,4 Step Cleanup - Radiat Youth,168.64,  65.00 ,  59.03 ,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ITEM #,DESCRIPTION,QTY,MRP,DISCOUNT,After Disc.,TOTAL
5 - Step Facial,5 Step Facial - Radiance Revival,10,  325.00 ,  50.00 ,  162.50 ,"  1,625 "
5 - Step Facial,5 Step Facial - Derma Lumin,10,  325.00 ,  50.00 ,  162.50 ,"  1,625 "
5 - Step Facial,5 Step Facial - Cobalin B12,10,  325.00 ,  50.00 ,  162.50 ,"  1,625 "
5 - Step Facial,5 Step Facial - Mucin Glow,10,  325.00 ,  50.00 ,  162.50 ,"  1,625 "
BEST SELLERS #,,,,,,
General,De Tan Single Use - 12 Gms (10 Pcs),10,  599.00 ,  65.00 ,  209.65 ,"  2,097 "
Cleanup Kit,4 Step Cleanup - Gold Sheen,10,  199.00 ,  65.00 ,  69.65 ,  697 
Cleanup Kit,4 Step Cleanup - Aqua Splash,10,  199.00 ,  65.00 ,  69.65 ,  697 
Cleanup Kit,4Step CleanUp - Charcoal Splash,10,  199.00 ,  65.00 ,  69.65 ,  697 
Cleanup Kit,4 Step Cleanup - Acne Heel,10,  199.00 ,  65.00 ,  69.65 ,  697 
Cleanup Kit,4 Step Cleanup - Radiat Youth,10,  199.00 ,  65.00 ,  69.65 ,  697 
,,,,, Total ,"  12,079 "
